"第一階層","第二階層","第三階層"
"Non-Human Biospecimen","Canine Cells","Canine Hepatocytes
Canine Mesenchymal Stem Cells (MSCs)
Canine Peripheral Blood Mononuclear Cells (PBMCs)
Canine Platelets
Canine Red Blood Cells"
"","Porcine Cells","Porcine Aortic Endothelial Cells
Porcine Bladder Microvascular Endothelial Cells
Porcine Brain Microvascular Endothelial Cells
Porcine Cardiac Microvascular Endothelial Cells
Porcine Colonic Microvascular Endothelial Cells
Porcine Coronary Vein Endothelial Cells
Porcine Hepatocytes
Porcine Lymphatic Endothelial Cells
Porcine Pulmonary Artery Endothelial Cells
Porcine Pulmonary Vein Endothelial Cells
Porcine Renal Endothelial Cells"
"","Rat Cells","Rat Neurons"
"","Guinea Pig Cells","Guinea Pig Hepatocytes"
"","Non-Human Primate (NHP) Samples","Non-Human Biospecimen
Non-Human Primate Samples
Other"
"","Rabbit Cells","Rabbit Hepatocytes"
"","Mouse Cells","Mouse Airway Smooth Muscle Cells
Mouse Aortic Endothelial Cells
Mouse Astrocytes
Mouse B Cells
Mouse Bone Marrow Cells
Mouse Brain Microvascular Endothelial Cells
Mouse Cardiac Fibroblasts
Mouse Cardiac Myocytes
Mouse Dermal Endothelial Cells
Mouse Embryonic Fibroblasts
Mouse Granule Cells
Mouse Hepatocytes
Mouse Lymphatic Fibroblasts
Mouse Meningeal Cells
Mouse Mesenchymal Stem Cells (MSCs)
Mouse Microglia
Mouse Neural Stem Cells
Mouse Neurons
Mouse Neutrophils
Mouse Oligodendrocytes
Mouse Perineural Fibroblasts
Mouse Peripheral Blood Mononuclear Cells (PBMCs)
Mouse Pituitary Cells
Mouse Renal Endothelial Cells
Mouse Renal Epithelial Cells
Mouse Schwann Cells
Mouse Splenocytes
Mouse T Cells"
